Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
17/03/2005,3447.17,3476.87,3447.17,3459.03,3467.9875
20/03/2005,3459.54,3499.72,3459.32,3474.56,3484.0760714286
21/03/2005,3474.97,3485.09,3456.19,3464.64,3487.5482142857
22/03/2005,3464.23,3506.53,3464.23,3499.14,3464.8767857143
23/03/2005,3498.94,3548.02,3497.21,3519.43,3447.1342857143
24/03/2005,3519.59,3519.9,3461.34,3484.28,3444.56
27/03/2005,3412.31,3423.59,3382.83,3387.87,3443.4185714286
28/03/2005,3387.05,3421.35,3375.95,3398.88,3452.1164285714
29/03/2005,3398.47,3455.64,3393.63,3450.96,3477.8528571429
30/03/2005,3450.96,3474.03,3439.72,3453.32,3512.3771428572
31/03/2005,3453.94,3498.64,3453.39,3491.06,3552.5614285714
03/04/2005,3544.62,3558.61,3532.32,3558.06,3597.5825
04/04/2005,3557.44,3606.79,3557.44,3598.73,3651.1778571429
05/04/2005,3597.91,3645.61,3594.44,3637.72,3760.3857142857
06/04/2005,3638.54,3692.76,3638.54,3692.76,3861.2603571429
07/04/2005,3692.96,3784.58,3692.96,3769.04,3977.5525
10/04/2005,4070.79,4225.53,4026.68,4036.93,4098.9721428572
11/04/2005,4036.73,4098.25,4008.43,4086.97,4201.6092857143
12/04/2005,4083.9,4237.34,4083.9,4233.77,4260.5875
13/04/2005,4233.77,4355.72,4233.77,4350.81,4315.7314285714
14/04/2005,4351.83,4393.75,4336.8,4383.12,4387.2935714286
17/04/2005,4352.59,4376.84,4314.97,4314.97,4458.7078571429
18/04/2005,4312.92,4395.39,4284.44,4388.52,4554.6546428572
19/04/2005,4387.08,4573.78,4374.41,4542.69,4634.4439285714
20/04/2005,4542.69,4662.44,4542.69,4614.35,4694.0346428572
24/04/2005,4640.98,4789.13,4640.98,4787.82,4743.5225
25/04/2005,4789.05,4854.91,4769.64,4802.34,4793.7385714286
26/04/2005,4803.57,4830.71,4773.45,4786.05,4886.7821428572
27/04/2005,4786.46,4822.24,4743.15,4803.2,4950.0871428572
28/04/2005,4804.63,4888.72,4804.63,4875.86,4974.5496428572
01/05/2005,4946.95,5126.81,4946.52,5116.79,4971.7589285714
02/05/2005,5122.12,5215.26,5070.28,5079.85,4914.4153571429
03/05/2005,5081.29,5117.01,4974.58,4990.98,4886.2785714286
04/05/2005,4995.35,4995.35,4833.36,4910.99,4886.0178571429
05/05/2005,4910.58,4937.44,4684.89,4708.3,4871.8582142857
08/05/2005,4608.83,4819.52,4607.53,4814.02,4830.7385714286
09/05/2005,4817.3,4932.32,4817.3,4927.07,4805.7303571429
10/05/2005,4927.89,5000.37,4868.08,4878.79,4800.845
11/05/2005,4879.52,4895.96,4726.06,4736.95,4796.3607142857
12/05/2005,4735.72,4752.41,4647.84,4752.41,4774.6085714286
15/05/2005,4790.5,4847.99,4786.08,4798.82,4751.2928571429
16/05/2005,4803.33,4843.2,4776.93,4784.4,4741.735
17/05/2005,4784.6,4797.5,4723.69,4726.2,4777.3485714286
18/05/2005,4722.72,4727.85,4685.6,4707.4,4811.4910714286
19/05/2005,4707.4,4740.32,4696.23,4731.05,4839.0082142857
22/05/2005,4797.81,4890.63,4797.81,4890.63,4874.0042857143
23/05/2005,4892.27,4950.39,4864.6,4906.7,4931.9982142857
24/05/2005,4908.34,4937.88,4862.77,4902.24,4958.0342857143
25/05/2005,4904.29,4977.96,4900.47,4946.93,4969.6575
26/05/2005,4936.07,5069.99,4935.63,5062.14,4977.2314285714
29/05/2005,4974.15,5043.7,4968.68,4982.3,4975.0082142857
30/05/2005,4981.48,5014.65,4924.42,4963.92,4982.1853571429
31/05/2005,4964.12,5002.36,4918.51,4980.99,5031.8532142857
01/06/2005,4980.99,4997.2,4952.17,4954.71,5102.2382142857
02/06/2005,4955.73,5001.54,4948.47,4999.17,5170.1110714286
05/06/2005,5189.63,5259.23,5142.84,5182.98,5235.8053571429
06/06/2005,5185.03,5299.57,5185.03,5299.57,5405.3278571429
07/06/2005,5302.65,5350.59,5291.09,5323.44,5510.1196428572
08/06/2005,5331.64,5381.45,5240.17,5363.46,5576.3628571429
12/06/2005,5634.2,5859.06,5634.2,5835.85,5683.9371428572
13/06/2005,5820.48,5979.46,5645.43,5699.05,5856.2435714286
14/06/2005,5693.93,5827.15,5514.47,5651.19,6014.9210714286
15/06/2005,5660.41,5922.94,5658.36,5909.66,6131.3732142857
16/06/2005,5913.85,6346.1,5913.85,6272.4,6220.4089285714
19/06/2005,6358.43,6425.53,6349.28,6356.86,6296.8785714286
20/06/2005,6356.86,6486.51,6333.08,6335.59,6379.4978571429
21/06/2005,6335.59,6399.86,6300.79,6364.8,6496.9207142857
22/06/2005,6364.8,6464.45,6364.8,6390.1,6593.5071428572
23/06/2005,6394.2,6557,6390.34,6513.42,6624.9246428572
26/06/2005,6696.59,6798.57,6694.54,6775.81,6617.27
27/06/2005,6784.01,6847.1,6778.4,6816.2,6642.2528571429
28/06/2005,6825.42,6857.88,6588.26,6633.21,6644.3614285714
29/06/2005,6628.09,6628.09,6449.8,6516.4,6601.5282142857
30/06/2005,6554.24,6677.16,6554.11,6672.78,6497.9003571429
03/07/2005,6715.7,6747.02,6616.21,6625.28,6371.0439285714
04/07/2005,6621.71,6621.71,6434.45,6479.11,6308.8517857143
05/07/2005,6475.55,6491.39,6231.03,6231.03,6177.9375
06/07/2005,6232.22,6287.61,5873.86,6060.29,6006.3485714286
07/07/2005,6083.85,6270.38,6083.85,6210.96,5969.7092857143
10/07/2005,6144.7,6144.7,5859.79,5875.75,5923.0957142857
11/07/2005,5875.75,5877.43,5493.82,5621.53,5890.3357142857
12/07/2005,5621.53,6039.36,5574.39,6011.15,5830.1714285714
13/07/2005,5844.86,6105.63,5844.86,5883.52,5762.4742857143
14/07/2005,5884.67,5990.99,5847.11,5853.85,5782.5814285714
17/07/2005,5814.24,5894.69,5565.66,5690.35,5735.5021428572
18/07/2005,5686.88,5702.42,5547.77,5607.37,5669.075
19/07/2005,5617.77,5872.36,5617.77,5872.36,5532.1303571429
20/07/2005,5876.98,5905.86,5573.36,5603.13,5452.7939285714
21/07/2005,5596.2,5670.99,5491.09,5523.11,5437.92
24/07/2005,5620.24,5622.3,5088.18,5171.32,5483.4410714286
25/07/2005,5160.92,5306.26,4850.24,5300.01,5527.1203571429
26/07/2005,5294.24,5510.88,5288.55,5478.74,5545.6678571429
27/07/2005,5482.21,5708.66,5482.21,5690.09,5548.1032142857
28/07/2005,5690.09,5786.65,5636.09,5694.54,5556.7789285714
31/07/2005,5592.12,5606.52,5520.23,5568.61,5589.9114285714
01/08/2005,5569.53,5576.61,5428.15,5499.23,5637.5125
02/08/2005,5501.54,5522.61,5478.65,5520.78,5754.9132142857
03/08/2005,5526.32,5684.32,5526.32,5668.53,5851.6757142857
04/08/2005,5669.91,5787.58,5669.91,5779.05,5935.355
